name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
ECHTJETZT?,7A,40°,2017,ringo,"D4,","I4,G6,K9,G11,J14,J16,H17,D17,E16,","A18,",Feet follow hands,FALSE
PELATOBASTASO,7B,40°,2017,matteo sera,"B6,D6,","A11,G11,E14,J10,I13,","J18,",Feet follow hands,FALSE
WARMUP TIME,6A+,40°,2017,mae,"H5,K4,","I7,F9,F12,C13,C16,","B18,",Feet follow hands,FALSE
GOOD MORNING!!,6B,40°,2017,mae,"E4,F4,","F8,C10,F13,F14,E16,","D18,",Feet follow hands,FALSE
ACTUALLY IT’S THIS,6B+,40°,2017,The Count,"H5,D4,","H10,G13,C16,","E18,",Feet follow hands,FALSE
JOSE1,6A+,40°,2017,alicante,"F5,","F8,H10,D10,G13,D15,","F18,",Screw ons only,FALSE
NUEVO,6A+,40°,2017,alicante,"F5,","F8,I8,H10,D10,G13,D15,","F18,",Feet follow hands,FALSE
CARROT TOP ELIMINATE,7A+,40°,2017,Ricky Marine,"K5,","K9,F10,F11,D15,","C18,",Feet follow hands,FALSE
THROWING PLANETS,6B+,40°,2017,Ennie,"E4,F5,","D9,G13,D16,","F18,",Feet follow hands,FALSE
FOR BO AND ALEX,7A+,40°,2017,PRG,"F6,J6,","H1,E4,I10,I15,E16,D8,F9,J2,H12,","F18,H18,",Feet follow hands,FALSE
RETRIBUTION,7A,40°,2017,thou,"H4,","F6,G10,D12,F14,D17,","H18,",Feet follow hands,FALSE
MALFEASANCE,7A,40°,2017,,"J6,K6,","H14,G16,F11,H9,","J18,",Feet follow hands,FALSE
IMMUTABLE FORCE OF NATURE,7A+,40°,2017,thou,"F5,","C14,F11,B8,","F18,",Feet follow hands,FALSE
EYEHATETHOU,7A+,40°,2017,thou,"C4,","E14,C17,C7,A11,","F18,",Feet follow hands,FALSE
BUMPER HUMP,6C+,40°,2017,Ennie,"K4,J4,","E11,C13,D16,C8,I8,H9,J6,K5,H4,E2,F10,","C18,",Feet follow hands,FALSE
WINGWALKER,7A+,40°,2017,thou,"D5,","C15,D17,D9,G8,F13,","A18,",Feet follow hands,FALSE
TO THE CHAOS WIZARD YOUTH,7A+,40°,2017,thou,"J4,G4,","H9,K13,H15,","H18,",Feet follow hands,FALSE
OUR ENEMY CIVILIZATION,7B,40°,2017,thou,"K5,J4,","J8,J10,F10,F13,C8,C13,A15,","A18,",Feet follow hands,FALSE
TO CARRY A STONE,7A+,40°,2017,thou,"B3,F3,","E8,B10,E14,C15,","F18,",Feet follow hands,FALSE
THROW TO THE MOON,6C+,40°,2017,Dallin Windsor,"D4,E3,","H10,C16,D12,J4,","A18,",Feet follow hands,FALSE
ROBOTIX SQUAD!!🤖🤯,6C+,40°,2017,Bend Rock Gym,"E4,I3,","I7,H10,J13,G16,J8,","F18,",Feet follow hands,FALSE
STZMI,6B+,40°,2017,Don\u0027t buy Velcro it\u0027,"F6,H5,","F8,G13,G10,D11,C16,","G18,",Feet follow hands,FALSE
BETAFISH 10/30/18,6C+,40°,2017,Bryant Noble,"H6,G4,","F7,F10,D11,F13,F14,I14,","H18,",Feet follow hands,FALSE
MICRO MACHINES,6C,40°,2017,Isaac Palatt,"F5,","H8,G3,B6,F13,D9,F11,I14,G16,","F18,",Feet follow hands,FALSE
NO SHOES REQUIRED,6B+,40°,2017,Bryant Noble,"C4,","B8,C10,G13,C16,","H18,",Feet follow hands,FALSE
AK 20,7A,40°,2017,Andriy Kolos,"J2,E4,","F7,G8,K9,J14,F16,K6,K13,H11,H17,J4,","D18,",Feet follow hands,FALSE
UNDERGROUND FAILROAD,6C+,40°,2017,Matthew Crafton,"B4,F3,","F7,G6,K9,H11,H14,","F18,",Feet follow hands,FALSE
DAMN DADDY!,7B+,40°,2017,Matthew Crafton,"E6,I5,","D9,A3,C13,H11,","H18,",Feet follow hands,FALSE
DOUBLE D DAN,6C+,40°,2017,Matthew Crafton,"F4,J4,","I8,E11,E14,H9,","D18,",Feet follow hands,FALSE
GIBONY,6B+,40°,2017,jajanek,"E4,I4,","I7,D10,E11,A8,C14,E16,","J18,F18,",Feet follow hands,FALSE
JOL CROISSANTS,5+,25°,2017,wellinghall,"H5,E3,","J13,E13,F8,I7,D9,H10,G13,C16,","F18,",Feet follow hands,FALSE
FIRST TIMER,5+,25°,2017,wellinghall,"H5,E3,","D4,F8,I1,I7,H10,E13,D10,C14,C16,","F18,",Feet follow hands,FALSE
BLUE RASPBERRY SHAKE,5+,25°,2017,Will,"E3,D2,","D4,F6,E7,F8,D10,E13,C14,C16,A17,","B18,",Feet follow hands + screw ons,FALSE
YO,5+,25°,2017,EmmaS,"A6,E6,","B8,E11,B11,E13,A17,D8,D9,B13,C16,","B18,",Feet follow hands,FALSE
CLIMBYO,5+,25°,2017,EmmaS,"H5,E6,","F8,D10,C13,C16,A17,","B18,",Feet follow hands + screw ons,FALSE
EMMACLIMB,6A,25°,2017,EmmaS,"H5,E6,","D9,F12,E16,","F18,",Feet follow hands + screw ons,FALSE
MEGA MEATLOAF 2.0,5+,25°,2017,Max,"D5,F5,","H5,I8,J11,G14,K15,H10,J4,I16,K17,","H18,",Feet follow hands + screw ons,FALSE
MEGA MEATLOAF,5+,25°,2017,Max,"F5,D5,","J17,G14,K15,J11,I8,H5,","H18,",Feet follow hands,FALSE
CAN I DYNO IT?,5+,25°,2017,Max,"K1,","E13,G9,C14,C16,","F18,B18,",Feet follow hands,FALSE
COMP CLIMB 1,5+,25°,2017,Christy,"F5,D4,","I7,H9,H10,F12,C13,C14,C16,","D18,",Feet follow hands,FALSE
EZMIEZ,6A,25°,2017,nandi,"A4,D5,","D8,B10,F13,G16,","E18,",Feet follow hands + screw ons,FALSE
STUDENT,5+,25°,2017,Vanii,"E3,H5,","F8,H10,E13,F12,C16,I8,","B18,",Feet follow hands,FALSE
THE WHIP,5+,25°,2017,slipperymittens,"H5,D4,","D9,G10,B13,F15,","B18,",Feet follow hands,FALSE
PROBABLY QUITE HARD,5+,25°,2017,elder,"H3,","B7,F11,H14,G16,","C18,",Feet follow hands + screw ons,FALSE
BUBBA UP,5+,25°,2017,Snorman,"I3,K6,","E8,H12,F11,J14,","I18,",Feet follow hands,FALSE
TRY,5+,25°,2017,rcc,"G5,E5,","H7,D7,G9,E9,G12,E12,G15,E15,","I18,C18,",Feet follow hands,FALSE
DAD BOD,5+,25°,2017,Chloe Krueger,"F5,H5,","F8,H10,F12,E13,I7,C14,C16,","B18,",Feet follow hands,FALSE
BUMMA,5+,25°,2017,Zackskis7,"F4,A4,","F8,D12,A8,G14,C16,","A18,B18,",Feet follow hands + screw ons,FALSE
SICK SEND JHHS,5+,25°,2017,Zackskis7,"D4,F5,","F8,D10,E13,C16,","F18,",Feet follow hands,FALSE
NIGHTMARE,6A,25°,2017,climbnewcastle,"F5,","D9,E11,C13,C14,C16,F9,G8,F8,G10,D12,","B18,E18,",Feet follow hands + screw ons,FALSE
KLIVRE,5+,25°,2017,PaniX,"E4,I4,","I8,D9,C3,F12,E13,C16,B6,","B18,",Feet follow hands + screw ons,FALSE
EASY BABE,5+,25°,2017,Bouboule,"A5,F5,","D10,E13,C16,","F18,",Feet follow hands,FALSE
ONE MORE 6A,6A,25°,2017,eirilu,"B4,F4,","F10,F12,B7,H14,D17,","D18,",Feet follow hands,FALSE
CHIP\u0027S CHALLENGE,5+,25°,2017,Calvin,"H5,F5,","E7,H9,H10,D10,F12,G13,E13,E3,G3,E16,","F18,",Feet follow hands,FALSE
